,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
37,考 前 极 限 预 习,https://www.bilibili.com/video/BV14f4y1T7A2,面粉社长,353159,216853,504,2619,22051,0,356,1124
38,【明日方舟×怪物猎人：世界】“淬火的追猎者”限时活动宣传PV,https://www.bilibili.com/video/BV1yq4y1r7vk,antisle,349646,535410,1492,53653,56255,0,11930,23067
39,【原神手书】全 员 西 装,https://www.bilibili.com/video/BV1444y1e71U,银色の猫先生,325941,384336,2434,24449,54795,0,4389,33062
40,干吃泡腾片是什么体验,https://www.bilibili.com/video/BV1aS4y1d7ct,聚猿创团队,324052,242510,21,33,17215,0,100,659
41,小新真的是从心底里散发出的温柔.,https://www.bilibili.com/video/BV1yq4y1g7Ev,精神小贱,321280,542064,46,649,41039,0,428,4093
42,画风可爱，却处处是刀！？评分9.8的治愈神番，看出了心理阴影！！！《结城友奈是勇者》剧情解说p1,https://www.bilibili.com/video/BV1j44y1e74S,中二少年晓凯,315786,398902,1233,6941,32574,0,435,6759
43,细节推理，直到最后30秒还在反转，侦探学园Q五大经典案件之雪月花杀人事件!,https://www.bilibili.com/video/BV1Gv411M7QG,小饭中年事件簿,315496,122952,880,8952,13065,0,214,3839
44,一切始于悲剧！金克斯的癫狂之路！《英雄联盟双城之战》剧情解读,https://www.bilibili.com/video/BV1BT4y197xJ,利维坦mY,306093,203616,776,3485,10489,0,511,1405
45,【warma】地上的脚印是谁的？一路跟了过去居然发现……？！,https://www.bilibili.com/video/BV1344y1i7FK,Warma,304815,1014451,4978,88870,160588,0,3400,40155
46,阔别了12年的舞台问候!帝骑竟然做了亚极陀的变身POSE!!,https://www.bilibili.com/video/BV1mL4y1q7Cm,井上正大-官方,304715,115634,433,6944,19437,0,312,2370
47,看完10月新番，谢谢，我全家泪腺炸了！【泛式】,https://www.bilibili.com/video/BV1mu411o7wd,泛式,300936,2087198,11920,67286,183740,0,4739,32429
48,璃 月 干 饭 人 【原神小剧场】,https://www.bilibili.com/video/BV1LT4y197Ts,愚人戏社,299858,114028,402,3458,18148,0,698,3623
49,【向晚】我行啦！我没了~ 我又行了！！我又没了~~【直播剪辑】,https://www.bilibili.com/video/BV113411b7P2,向晚大魔王,297818,94934,7,5441,15197,0,427,3030
50,名 柯 の 近 战 天 花 板,https://www.bilibili.com/video/BV1fb4y1b7L2,凉叶泽,295737,458981,106,159,50868,0,129,3840
51,【原神日常】#11 胡 桃 游 戏,https://www.bilibili.com/video/BV1dq4y1g76N,粥粥的奇妙冒险,294244,623006,1057,9259,66417,0,2761,19246
52,大哥想和你平分，你却想与大哥斗法,https://www.bilibili.com/video/BV11r4y1C7Kq,爱好是柠檬,293773,247275,52,133,12162,0,47,597
53,【波兰球】来自五常的压迫感,https://www.bilibili.com/video/BV1Yv411T7Wt,高维肃正,284965,620355,1181,3495,35838,0,483,12644
54,《飞出个未来》Bender客串！【阴谋办公室】第一季第四集所有彩蛋与秘密·下,https://www.bilibili.com/video/BV1A341187pN,安迪视频,282137,165032,551,3703,15511,0,117,1187
55,普通人体验王子的幸福人生，谁知这样的生活竟让他苦不堪言！,https://www.bilibili.com/video/BV1wF411Y7Wo,小品一家人,275901,300891,8,53,882,0,11,96
56,本以为实力悬殊结局已定，没想到最后却输给了自己,https://www.bilibili.com/video/BV1dF411a7pC,开心锤锤,269656,606594,135,232,10587,0,29,893
57,【国王排名/波吉】每 日 一 遍  烦 恼 再 见,https://www.bilibili.com/video/BV1cR4y1t77m,瓶装小甜水,267662,299678,461,4398,16882,0,2840,4545
58,“和睦”,https://www.bilibili.com/video/BV1pf4y1T7tU,清风阵阵徐来,267288,262505,45,41,20894,0,57,975
59,【外网原神同人手书】— HuTao Rerunning,https://www.bilibili.com/video/BV1Nr4y1y7vp,筱雨的鱼,264884,121881,77,768,9502,0,507,4663
60,15年后和初恋相见，男主仍是少年，她却已老,https://www.bilibili.com/video/BV1SQ4y1S7ZJ,奋斗的生菜,258496,181362,143,279,10822,0,93,2770
61,"在下忍者,有何贵干！！！（第六集）",https://www.bilibili.com/video/BV13T4y197ih,-夏秋冬-,257450,95138,386,8810,14049,0,697,2067
62,【JOJO】石之海新官方PV公布！,https://www.bilibili.com/video/BV1jb4y187Qm,凉风葱叶,254104,164863,360,605,8174,0,3698,2437
63,【明日方舟手书/动画】Tunnel Vision,https://www.bilibili.com/video/BV1P341187nv,虫柚POMELO,252968,453922,1155,80226,85052,0,5342,52629
64,今天是你和萍儿大喜的日子,https://www.bilibili.com/video/BV1FQ4y1D7oM,见子,247630,209234,272,1127,6444,0,12467,1748
65,⚡生物进化⚡,https://www.bilibili.com/video/BV1xU4y1g7Wz,咩大佬呀,247229,202510,39,55,10584,0,83,706
66,老爹拿阴间币红包走亲戚！,https://www.bilibili.com/video/BV1V34y1Z75P,老穆棍,242877,159763,490,1542,11902,0,280,1052
67,【捏碳物语】客人，这样踩力度够吗？？,https://www.bilibili.com/video/BV1xh411t7Lc,捏碳碳碳碳,242755,636591,1277,11449,67623,0,449,10874
68,“本以为是恶毒后妈，没想到她在偷偷爱你”【国王排名】,https://www.bilibili.com/video/BV1yb4y1b7Yu,蒙娜丽鲨鱼,242461,4230280,1744,70146,291593,0,22176,102276
69,王者脑洞所：众英雄打疫苗大闹诊所，扁鹊被迫主动辞职！,https://www.bilibili.com/video/BV1Mq4y1k7qM,是脑洞君啊,241096,146832,61,518,13878,0,201,1618
70,【扒】时间崩溃，用末日炸弹炸出黑洞，才能拯救世界！飞出个未来之时间把戏,https://www.bilibili.com/video/BV1VL411u7oC,周扒片,236566,149441,250,1801,12407,0,105,1001
71,《逐魇骑士暗恋耀骑士未果，竟对其家人大打出手》,https://www.bilibili.com/video/BV1fL411M7a2,帅哥伊斯买裤衩,233264,121889,161,560,15396,0,245,1427
72,【路人必看】从嘉然出道被网暴到百万粉丝上万舰长，A-SOUL究竟有怎样的魅力？,https://www.bilibili.com/video/BV14q4y137Fc,不再颓废的小峰,231432,140188,3377,9161,12547,0,3070,7162
73,外国特摄厨第一次看铠甲勇士,https://www.bilibili.com/video/BV1JL411u7Hu,黑桐亚里亚Official,230071,172282,507,357,9761,0,150,1879
74,【原神】摇头晃脑的,https://www.bilibili.com/video/BV1rq4y1g7nn,就是就是就是喜欢,229204,1096971,947,14285,75743,0,12913,27831
75,百鬼丸的全盛时期居然是被夺走全部器官的时候,https://www.bilibili.com/video/BV1Uv411T7Mf,乔巴-解说海贼王,223704,1024163,30,152,29879,0,54,2102
76,开箱童年的小卖部弹球抽奖，奖票中藏有套路，难怪当年抽不到大的,https://www.bilibili.com/video/BV13P4y1j7WB,玩具砖家,222879,575346,210,174,3576,0,72,765
77,蚌埠住了！哪个鬼才教你这么剪的？我DNA都变异了！,https://www.bilibili.com/video/BV1LR4y1E7cF,MJ小林大人嗷,221455,326928,256,6182,26599,0,873,8205
78,你以为全球捕鼠冠军冠军的汤姆很弱？汤姆：非得逼我上大号！,https://www.bilibili.com/video/BV1Xq4y1g7yt,咕噜一口小三胖,218973,272415,58,412,8231,0,57,2907
79,海贼王1031话细节伏笔分析：被踩爆的战斗服还会修复？魂魂果实真正的力量是？蛮霸者乱入火药库带来变数！,https://www.bilibili.com/video/BV1s44y1e7jJ,动漫作业本,216482,153628,979,2169,9021,0,179,488
80,买不买!? 一万七千八的超大合金擎天柱介绍分享!【虾米大模王】,https://www.bilibili.com/video/BV1Mq4y1k7jE,虾米大模王,213399,119827,1620,2070,9604,0,3221,1855
81,海贼王皇副全员大公开！索隆山治的死敌羁绊！魂魂果实无限续命的BUG，海贼王1031话解析,https://www.bilibili.com/video/BV123411b75C,夜与白鲸,210426,168651,307,691,7428,0,137,355
82,【想笑 ⚡️ 就笑吧⚡️】,https://www.bilibili.com/video/BV1D3411b7Az,粥粥鱼_,209949,98420,255,1593,10297,0,342,2617
83,排队两小时摸到了两分钟初音未来（索尼空间再现显示技术）,https://www.bilibili.com/video/BV1Yg411K7Lp,natsuki_www,208962,263810,119,421,26014,0,2718,7054
84,不怕神一样的对手，就怕猪一样的队友,https://www.bilibili.com/video/BV1yf4y1u7mv,大魔王不欧,208196,524804,34,149,9472,0,31,1016
85,爆肝30小时！首款具有空间感的可动红蒂蒂同人立绘！,https://www.bilibili.com/video/BV1Wv411T7dt,别傾城,206466,60230,40,2052,8921,0,207,4471
86,(原神)往生堂跨国业务，包您满意,https://www.bilibili.com/video/BV17q4y137AB,Gimnaeng,205691,105798,225,780,12189,0,590,1651
87,毕业后，很多朋友只能在游戏里见了。,https://www.bilibili.com/video/BV11u411o7M4,杂乱无章MessUp,203393,891637,334,6920,59820,0,4701,18092
88,【原神恶搞】七 七 醉 奶 拳 ~,https://www.bilibili.com/video/BV1vL4y1q7w9,京桥刹那,202560,128237,227,2608,8017,0,1534,1791
89,【3D 你哄甜心】你女朋友生气了怎么办？,https://www.bilibili.com/video/BV1SL4y1q7bg,非法独行者,201366,74036,161,1651,8424,0,1301,4677
90,亚古兽 焯 进化,https://www.bilibili.com/video/BV1hU4y1g7YN,泡面方,196323,533269,114,1582,19900,0,5241,3051
91,【时尚原神】提瓦特学园，少女新生大揭秘!,https://www.bilibili.com/video/BV1hq4y1R7Dw,哈米伦的弄笛者,195475,548621,1460,31588,83984,0,4727,37514
92,恐怖潮玩分享 哪个是你的童年阴影？,https://www.bilibili.com/video/BV1vT4y197DR,年糕君G,193775,268823,125,148,9141,0,34,983
93,【仿原神渲染】胡桃：我的悲伤是挂火的,https://www.bilibili.com/video/BV1J44y1e7Lc,无夜游名,193455,77122,97,2202,8048,0,343,4034
94,杰 瑞 ：  奶 酪 零 元 购！！！,https://www.bilibili.com/video/BV1xF411a7iz,豆豆动漫T,190456,404988,138,475,3952,0,54,1078
95,【EVA】定格动画总集篇丨十项全能EVA【Animist】,https://www.bilibili.com/video/BV1gu411o7nC,Animist_Official,187439,86408,129,3789,7292,0,524,2267
96,特利迦：我才不惯你这毛病,https://www.bilibili.com/video/BV1vR4y1E7Ug,伊洛Zero,186021,142412,81,487,4462,0,1317,1161
97,“他没有一句台词，却治愈了我们所有人”【国王排名】,https://www.bilibili.com/video/BV1e34y1Z7XT,永远的我的鸟笼Me,185575,183303,256,2084,8598,0,707,2757
98,【原神手书】《璃月少年少女闲话逸事》,https://www.bilibili.com/video/BV1fR4y1779Y,-Ansa-,184812,648415,613,44404,90196,0,4470,49391
99,动 画 版 章 鱼 游 戏,https://www.bilibili.com/video/BV1m34y1m7b8,MAX-小仙女,181925,8011172,2855,55969,340890,0,44384,83253
