,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
35,【水视频系列】Rollin‘唱跳练习（狗头）,https://www.bilibili.com/video/BV1n44y1e773,铁血暴龙兽,154319,71446,59,291,2740,0,107,3358
36,【白小白】《霍元甲》琵琶音乐版中国风爵士编舞,https://www.bilibili.com/video/BV1Yr4y1C7rB,Ticki白小白,149010,111867,72,358,7798,0,337,1560
37,咦？你什么时候关注的这个up主？,https://www.bilibili.com/video/BV1LU4y1M7nq,开门啦你的小初快递,146534,311601,289,4110,15524,0,478,13222
38,全日本230支队伍，总计6451名高中生，合跳YOASOBI的「群青」！真的很青春啊！,https://www.bilibili.com/video/BV14Q4y1S75V,日本沙雕日常,143479,671004,729,8777,38732,0,4236,19256
39,“听说京城来了位 绝媚舞姬 去看吗？”《美人关》娇媚古风舞蹈翻跳  王诗意编舞,https://www.bilibili.com/video/BV1x44y1e7WC,耿清清呀,128420,44001,205,1910,5355,0,55,2170
40,那就选我吧！竖屏｜O.O.O【粽子淞】,https://www.bilibili.com/video/BV1qU4y1g7uv,粽子淞,127941,28379,25,370,3555,0,54,3842
41,牛顿之舞,https://www.bilibili.com/video/BV1JL4y1B7fP,CR400BF-Z-5210,126051,608201,234,2239,39025,0,4905,20989
42,💔废话不再多说！SOMI新歌XOXO翻跳视频出炉！,https://www.bilibili.com/video/BV1XQ4y1S7jx,嘎舞强强DanceKang,115600,70663,58,365,7838,0,89,215
43,街头女战士《少女时代- Gee》舞蹈视频公开！,https://www.bilibili.com/video/BV1K44y1e79K,爱豆安利所,114154,86764,58,33,2762,0,296,684
44,🔥紅蓮華🔥为了最爱的人变得更强大！速食面～｜波喵,https://www.bilibili.com/video/BV1JL4y1v7gs,波喵喵喵,113699,39089,387,812,4936,0,78,2144
45,纯御小海豚❤️Dolphin,https://www.bilibili.com/video/BV1Hv411M7Hi,Sakuya十六,110394,100782,576,1667,6897,0,119,8301
46,生日作 ❤ 城堡里的清纯少女,https://www.bilibili.com/video/BV1Ur4y1C71W,变态辣惠子酱,106947,28959,143,701,2957,0,30,3011
