,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
37,4步解决体能问题：告别瞎练！国家一级运动员体能训练法则,https://www.bilibili.com/video/BV1L44y1e7L9,零天赋射手,180709,561022,415,16569,31655,0,1642,49253
38,每天10分钟，帮你纠正全身体态｜超级有效,https://www.bilibili.com/video/BV1Ur4y1C7g9,Gandy__,176240,57384,152,1655,4053,0,228,4505
39,【收藏向】不懂这些，跑步受伤粗腿是迟早的事｜保姆级跑步姿势详解,https://www.bilibili.com/video/BV1ER4y1J7hp,跑步的子章老师,169306,2548494,1813,62750,139533,0,17329,186282
40,常熟阿诺肩膀再次化脓！准备切除三角肌！疑似肌肉坏死！,https://www.bilibili.com/video/BV1yr4y1C7Jo,超级赛亚人小黑,166759,151062,59,44,3316,0,457,211
41,小河沟碰上大板鲫窝，这鱼情暴躁啦,https://www.bilibili.com/video/BV1uS4y1d7ku,小昕去钓鱼,166406,134751,323,672,6269,0,160,387
42,凌晨4点的洛杉矶开始训练！没有借口！【备战自然赛EP.18】,https://www.bilibili.com/video/BV1JP4y1j7rr,短腿小萝卜_babycarrot,165146,110725,642,1369,7236,0,142,521
43,号称实战最强的“疯狗拳”人人骂他疯子，但确是真正的中国功夫！,https://www.bilibili.com/video/BV1Pq4y1k7zY,屿风体育,162583,97062,240,215,5335,0,283,1604
44,致敬重生！抗癌斗士9小时18分57秒完成纽约马拉松,https://www.bilibili.com/video/BV1n44y1e7jN,TalkAndRun,159940,83020,143,1032,7914,0,220,1539
45,如何气死巴萨球迷,https://www.bilibili.com/video/BV1HF411Y7v3,鸡锟苗师傅,154784,101094,763,821,6939,0,1005,646
46,冬训开始了！好好训练！,https://www.bilibili.com/video/BV1x34y1Z7yV,Air-China徐通,154548,131071,150,89,9451,0,76,237
47,【一周见效】每天一遍，头前倾再见。丢掉猥琐体态，还能长高。,https://www.bilibili.com/video/BV1DU4y1u7hZ,猫叔慢跑,154391,359292,337,14734,19945,0,2679,54657
48,每周足坛电子厂！瓜熟蒂落，一无索有,https://www.bilibili.com/video/BV1Pq4y1k7o2,爱穿小脚裤的花轮,151109,91964,1275,2958,5780,0,514,636
49,假如你被暴怒的妈妈追打，第一视角带你亲身体验什么叫慌忙逃离,https://www.bilibili.com/video/BV1bR4y1E71X,奔跑的酷子,146569,443100,1,187,996,0,2,708
50,林皇余威？西汉姆3-2利物浦！阿森纳三连胜！,https://www.bilibili.com/video/BV113411b7aK,隔壁红魔,146383,95304,518,743,7933,0,84,277
51,当武器大师王师傅火力全开的时候，洋妈只能拼命防守！喜欢这样的单挑！继续冲,https://www.bilibili.com/video/BV1eL4y1q7Zi,风一样的男子_郭小洋,145900,102467,158,228,7459,0,48,282
52,体重涨不动了怎么办？原来瘦子也有体重焦虑【卓叔】,https://www.bilibili.com/video/BV1xq4y137sE,卓叔增重,145313,80895,292,1562,4962,0,416,1299
53,跳绳打卡,https://www.bilibili.com/video/BV1oq4y1r7Vd,小碎花RJ,142508,92705,31,138,1694,0,499,2121
54,感动时刻：这一刻全场观众起立为马尔萨鼓掌！,https://www.bilibili.com/video/BV17f4y1T7uB,爆梗体坛,142317,111908,3,13,7875,0,2,152
55,"在现场看 ""库里""打球！是什么体验！？",https://www.bilibili.com/video/BV1pL4y1v7Kf,老李船长,142277,71247,411,1795,9042,0,475,776
56,沙雕网红【飞力仕棒】减肥秘籍：全网独家！双11避坑指南！,https://www.bilibili.com/video/BV1YP4y1j7kL,灵魂健身杨老师,139112,58035,239,2930,8167,0,232,939
57,小黄同学，还有最后一个时间争取瘦到100斤！大家一起为她点赞，加油……,https://www.bilibili.com/video/BV1Uv411u7RK,减肥敢死队-高峰,135187,1972195,669,464,135114,0,2229,7077
58,张国伟传：从世界第二到被骂退役，这10年他到底经历了什么？,https://www.bilibili.com/video/BV1234y1m7z8,老油条说,134677,5850095,2282,13794,320935,0,909,33289
59,【高燃预警】三分钟用五种兵器夺走你的硬币！,https://www.bilibili.com/video/BV1MP4y1j7Ld,含亮老师,133973,922995,7137,65648,87654,0,6718,20200
60,李小鹏双杠近乎完美表现惊艳全场，落地的那一瞬间解说直接高呼冠军！,https://www.bilibili.com/video/BV1YL41137fZ,布一体育,128328,250475,13,26,35744,0,10,569
61,女生宿舍/真实记录帕梅拉运动,https://www.bilibili.com/video/BV19v411T729,宇宙级美少女,127310,71503,95,111,2178,0,168,2361
