,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
35,【中俄合拍】谁来证明那些没有墓碑的爱情和生命,https://www.bilibili.com/video/BV1Vv411M7Uo,倪咻咻-,357121,125675,276,2447,12025,0,775,8112
36,这大概是全球唯一能把私生饭聊到脱粉的明星吧！,https://www.bilibili.com/video/BV1xL411u7JW,张大帅太帅,353884,320333,88,80,8186,0,123,1417
37,这个老人满足了我对恶灵骑士的一切幻想，太帅了,https://www.bilibili.com/video/BV1NQ4y1D7hC,漫威小剪刀,353818,219164,44,243,24855,0,98,3121
38,两个爆笑小故事来了，开心一笑哈,https://www.bilibili.com/video/BV1e34y1o7pk,效忠东城卫,350836,485560,89,77,71293,0,138,3237
39,“每 天 一 遍，防 止 颓 废”,https://www.bilibili.com/video/BV1z3411C7JK,向上的可可,340037,4164952,3764,122480,279051,0,21812,199670
40,楼道的风和他的眼神，成了我整个青春,https://www.bilibili.com/video/BV1vq4y137tU,靖雅欧巴呀,337511,273753,405,271,11193,0,421,1575
41,王宝强：拍树先生的时候，我自己导演和现场所有人，都分不清我是演的还是真的！！,https://www.bilibili.com/video/BV1zQ4y1m7Zs,电影频道TV520,332131,300222,198,275,9567,0,102,770
42,救命！这真的不是忘了打抑制剂的Omega吗？！这谁看了能不迷糊！！！  【花无缺/谢霆锋】,https://www.bilibili.com/video/BV1wq4y1376u,普通恋情,323072,524447,710,3322,27056,0,2519,15475
43,【长月烬明|全员古装颜值牛逼症】导演：听说你们最近对古偶幻想快破灭了，在我这，不存在的！,https://www.bilibili.com/video/BV11f4y1u7tR,青木小墨,307181,566658,1313,1540,43140,0,4846,11370
44,【驼】都是傻白甜，为什么她就是可爱，她们就是招人讨厌【李玉湖】,https://www.bilibili.com/video/BV13341187nU,麦驼oat,305973,198668,2468,1908,16966,0,114,932
45,宇宙被一座巨型黑塔支撑，如今竟开始倒塌，引发大灾难！【科幻Fans 布玛】奇幻冒险电影《黑暗塔》,https://www.bilibili.com/video/BV1v44y1e7uC,科幻Fans布玛,303850,224242,1080,760,12339,0,83,1314
46,迪士尼肯定是御姐控！盖尔加朵确认出演白雪公主的后妈,https://www.bilibili.com/video/BV1T3411C7yd,电影冷知识,303280,214121,227,207,15782,0,119,1071
47,典狱长只记得圣经的内容，却不记得圣经的重量,https://www.bilibili.com/video/BV1PP4y157bB,曦月煊,295267,333041,97,56,23966,0,7,1052
48,传奇人物霍华德修斯   小李子主演 钢铁般的意志 不惜公司破产只为了梦想!,https://www.bilibili.com/video/BV1iq4y1r7sB,老实人讲电影,293377,560065,39,50,26675,0,23,2085
49,这一次，我一定要“赢”！,https://www.bilibili.com/video/BV1p34y1Z7b2,往往老布,291509,207738,462,3005,11797,0,265,1072
50,《斗牌传说2》P6！绝世的天才！霸道的因果律！,https://www.bilibili.com/video/BV1U3411b7TB,火龙果说电影,289351,219633,916,4487,8891,0,178,735
51,台湾省的“厕所文化”，年轻男女藏污纳垢放飞自我的私密空间。,https://www.bilibili.com/video/BV1nP4y157U1,西门说说,289275,284447,145,96,4273,0,27,706
52,一方有难，八方支援，这就是中国力量,https://www.bilibili.com/video/BV1ZR4y1473K,向中华英雄致敬,285344,493171,22,113,35408,0,9,1171
53,以我们龙族的寿命而言，我才两岁,https://www.bilibili.com/video/BV19b4y187Uq,是冉橙子,283775,243081,221,96,7739,0,28,1054
54,【4k60帧】三代蜘蛛侠最帅的一代！你最喜欢哪一代呢？,https://www.bilibili.com/video/BV1pq4y197hc,小黄鸭鸭鸭剪辑,278131,912465,162,423,67056,0,94,7936
55,重温经典！《神探狄仁杰》第二部！第1案！边关疑影,https://www.bilibili.com/video/BV1yr4y1C7w8,芙芙家的洗碗君,272810,147621,1226,6268,11861,0,92,1749
56,这个老师不一般啊，希望同学们把自己杀掉 没等毕业就，哎最后好惨,https://www.bilibili.com/video/BV1kQ4y1B7FA,莱茵电影,269685,903430,56,405,4706,0,21,3063
57,漫威系列口碑最差一部？！《永恒族》点评&彩蛋解析，片尾爆出超多新角色和方向！,https://www.bilibili.com/video/BV1nL411u7Cr,大聪看电影,268706,187646,1360,1304,10424,0,313,1297
58,央媒带头，影迷骂街，这圈钱套路怎么就下不了架【毒舌编辑部 你确定吗】,https://www.bilibili.com/video/BV1E44y1e7Jx,毒舌编辑部,268249,186854,1006,1017,11532,0,263,1258
59,【啊粥】人民的名义09：沙瑞金如何在汉东省扎稳脚跟？,https://www.bilibili.com/video/BV1dP4y1V7tx,啊粥粥啊粥,267681,1233056,23179,119664,102348,0,6337,29980
60,洋葱播报员：俄罗斯警长硬核办案，防诈骗、打疫苗、训练国足样样都行。,https://www.bilibili.com/video/BV1Lq4y1k7kH,猛虎电影,264789,211743,260,174,7201,0,598,1468
61,这部科幻片，放到今天绝对神作！,https://www.bilibili.com/video/BV1Sq4y1g7Kq,布衣探案,264725,3232230,258,1034,30003,0,60,6189
62,【飘飘】影 视 废 话 文 学 大 赏,https://www.bilibili.com/video/BV14g411K7mN,柳飘飘了吗,259410,156013,605,1464,13730,0,420,1680
63,【垫底大烂片】之史上最烂恐怖片《惊魂七夜》,https://www.bilibili.com/video/BV1Jv411M73f,丸子叨叨叨,259221,135273,843,2483,17959,0,130,1063
64,人间最强凡人左千户，要是他懂点法术，估计燕赤霞和知秋都靠边站,https://www.bilibili.com/video/BV14g411K793,沐州zz,251636,216157,113,90,7742,0,25,587
65,看哭了，男孩的灵魂苦苦等在原地不肯离开，只为妈妈的一句我爱你,https://www.bilibili.com/video/BV1mb4y1b7iB,啄木鸟探片,250354,514219,120,270,4272,0,176,1314
