,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
43,⚡你 却 让 我 输 的 这 么 彻 底⚡,https://www.bilibili.com/video/BV1SU4y1F7xs,瞑浔Sabri,98835,2540603,7391,29978,124407,0,11913,44030
44,有 求 必 应,https://www.bilibili.com/video/BV1yv411u7cq,天天买瓜,98661,1044287,1944,23341,83941,0,7259,25748
45,焯焯焯焯焯焯焯焯!,https://www.bilibili.com/video/BV1x3411y7J9,おゆゆ,97928,2405855,2937,15969,105177,0,17326,32119
46,【罗翔】晴天,https://www.bilibili.com/video/BV1z44y1i7wq,焦糖肾宝片,93825,396769,647,8030,24907,0,1148,4690
47,楚云飞穿越三国，助吕布干翻曹操,https://www.bilibili.com/video/BV1Zf4y1g7xM,闲人1943,91395,939724,2403,22361,65717,0,9949,18752
48,贵 物 虫 痔 5,https://www.bilibili.com/video/BV1N3411C7jY,贵物虎虎侠,88970,42909,118,1296,3570,0,608,988
49,Gura：“这是你的时间循环吗？” Kronii：？,https://www.bilibili.com/video/BV1kr4y1C7kK,imaizumi_aika,88312,54667,11,171,4006,0,229,1827
50,整条马路都陷入了尴尬,https://www.bilibili.com/video/BV1jL4y1v7bk,橙某,88192,46362,104,301,4762,0,177,798
51,【电棍】双城之战主题曲♿Enemy,https://www.bilibili.com/video/BV1sh411t7Gk,欠债调音狮,86940,46023,124,1615,2881,0,1155,917
52,【罗翔】童话镇,https://www.bilibili.com/video/BV1bz4y1r7Ug,核动力路灯,84171,16016252,33117,1470342,1491762,0,137779,781314
53,欺负一只茄子,https://www.bilibili.com/video/BV15r4y117sM,墨菲potato,83816,1221089,447,10260,70643,0,5811,14363
54,有为青年-王喜顺,https://www.bilibili.com/video/BV1Z34y1U7za,晚绿大魔王,83768,1670074,530,34188,80022,0,21179,36103
55,学不学吧你,https://www.bilibili.com/video/BV153411k7eg,芝士局,83459,569081,694,13775,45602,0,2093,14806
56,某下北泽小伙喝退百万曹兵,https://www.bilibili.com/video/BV1Ub4y18725,wifi没有信号,76909,46064,112,254,2857,0,677,736
57,24岁 是英雄联盟S赛冠军,https://www.bilibili.com/video/BV1YS4y1d7xn,进击のAndy君,70875,51218,42,199,1893,0,428,521
58,【派大星的独白】一个关于正常人的故事,https://www.bilibili.com/video/BV1qt411j7fV,洛温阿特金森,70004,70616557,372264,4605889,4460372,0,927458,3102692
59,瓜 侍,https://www.bilibili.com/video/BV1yf4y1u7pX,打不倒の西撒,69321,50595,93,525,4535,0,283,1319
60,【爆笑广告RAP】这广告比电视还要好看？12.0,https://www.bilibili.com/video/BV1Eq4y1379U,蟹蟹繁繁,69179,30402,191,459,3126,0,130,1082
61,💀植 物 大 焯 僵 尸💀,https://www.bilibili.com/video/BV1i34y1Z7pP,阿拉斯加松,68243,109902,557,684,11589,0,479,2506
62,【七海】🦈三剪一都ybb🦈,https://www.bilibili.com/video/BV1zU4y1g751,学渣只能说一句花Q,68075,97886,93,2890,7053,0,1380,2869
