,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
35,年度爆品大盘点来啦！！我赌这些护肤品你一定眼熟！,https://www.bilibili.com/video/BV1BR4y1E7LH,刘巧巧Farmer,178475,68879,58,686,5060,0,189,4058
36,不到100起！双十一全年最低价13双高颜值平价好鞋！,https://www.bilibili.com/video/BV1eP4y1j76N,大欧君,173096,95942,408,2826,6806,0,474,1311
37,「jk变装」现场开箱变装～,https://www.bilibili.com/video/BV1Rb4y18713,阿九Ajiu-,172785,154569,39,54,4356,0,73,1773
38,我就是街头最L的人,https://www.bilibili.com/video/BV123411b7uJ,老戴在此,172538,103219,999,1102,10110,0,341,373
39,“他们不像是走秀，倒像是来赴宴的......”| 前方高能·国风大典混剪,https://www.bilibili.com/video/BV1EL4y1B7Gw,w花酒不是花洒_,170615,4469155,9153,175459,503161,0,47631,261044
40,搞穿搭！旗袍+大厚袄，你们秋冬交替的时候都在穿啥？,https://www.bilibili.com/video/BV1cQ4y1D7BQ,真的是CC呢,167071,105540,107,347,3621,0,748,2389
41,你们班上的一位天才女孩,https://www.bilibili.com/video/BV1h34y1Z77P,洁哥是女大神呐_,165514,101006,11,25,12177,0,13,727
42,厌世感冷系美人～男女通吃，姐姐给个姬会！,https://www.bilibili.com/video/BV1JT4y197w5,大佬甜er,164730,82170,980,1622,6123,0,189,1969
43,【唐毅】拯救废手！我不信看完这个视频，还有人不会画眼影！,https://www.bilibili.com/video/BV1Sf4y1u7kp,唐毅TangYi,164620,34986,102,1387,4556,0,255,4901
44,【Kleiner Pixel】Cosplay 不同角色适用的美瞳#8,https://www.bilibili.com/video/BV1eL41137yG,KleinerPixel,164273,657430,2644,17775,77239,0,3638,19204
45,又丑又胖！快把这些网红棉服从购物车里删掉！｜微胖梨型,https://www.bilibili.com/video/BV1VL411u7h4,靓仔董米粒,164033,76193,1704,3544,10004,0,173,779
46,别再把脸当试用田！亲身烂脸经历大公开，都听我一句劝！,https://www.bilibili.com/video/BV1zf4y1u7wA,美希Mazing,158540,60719,131,908,5273,0,177,5071
