,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
35,【地平线5】全自动驾驶百万经验蓝图，50圈高速公路自动刷经验、技术点数、CR及抽奖次数,https://www.bilibili.com/video/BV1fq4y1r7YF,懒奥会选手,395670,171722,125,5174,4937,0,2029,8856
36,30天过十遍考研单词,https://www.bilibili.com/video/BV1rh411t79d,哈哈必上岸up,390516,261237,421,9476,13918,0,1920,39729
37,周姐说：你们是不是对我有非分之想啊。,https://www.bilibili.com/video/BV1hP4y1j7jp,阿尔卑斯山的宁静,379472,251602,14,72,27774,0,50,1095
38,东北的暴雪有多大,https://www.bilibili.com/video/BV1wq4y137Kk,张于不吃姜,369203,297614,424,82,13484,0,4068,1368
39,英国老哥吹唢呐庆祝EDG夺冠！我们是冠军,https://www.bilibili.com/video/BV1vU4y1g7yy,JoeCreator,367579,322599,1333,8633,25898,0,434,1543
40,他是达康书记的原型，在任期间争议不断，卸任之时数千百姓跪求他别走。真正的人们公仆，人民的好市长 耿彦波,https://www.bilibili.com/video/BV1xQ4y1q7d6,八宝故事会,361738,3959699,4563,19783,339153,0,5209,34937
41,《什 么 叫 正 经 啊 ？》,https://www.bilibili.com/video/BV1v34y1Z7P6,二酱不怕不怕,360418,281911,364,600,15678,0,565,1052
42,地下室里“养人”喂的是狗粮,https://www.bilibili.com/video/BV1ar4y1C7vu,深夜追了个动漫,358038,256939,34,33,28138,0,57,1480
43,【一周见效】纠正骨盆前倾，平坦小腹，解决腰痛，无场景限制,https://www.bilibili.com/video/BV1o3411b7T9,郝强Fit,357421,76215,245,4067,4447,0,639,13129
44,酱 紫 送 ？【LOL小剧场】,https://www.bilibili.com/video/BV1Lq4y1k7T4,迅捷画手Trollya,355896,254515,322,2448,17381,0,602,959
45,从无到有 | 搬进郊区的大房子太快乐了,https://www.bilibili.com/video/BV1Hh411t7Dh,一只桔梗er,339546,546017,173,450,43585,0,991,11895
46,每当你想放弃的时候，就看看这个视频,https://www.bilibili.com/video/BV1wr4y1y72W,投掷狂魔Dav,338509,276997,48,230,14744,0,60,1080
47,楼道的风和他的眼神，成了我整个青春,https://www.bilibili.com/video/BV1vq4y137tU,靖雅欧巴呀,337511,273753,405,271,11193,0,421,1575
48,泰国美食：路边摊上的肥美烤墨鱼肉厚弹嫩果木炭烤鲜香十足,https://www.bilibili.com/video/BV1NL411u744,小老虎的泰国行,331346,265470,378,314,14227,0,1346,792
49,全球首位！我国17岁小将完成单板滑雪内转1980度,https://www.bilibili.com/video/BV1iT4y1d7Hg,你懂体育吗,330676,546184,162,301,77068,0,548,5910
50,[大连]这雪让全市停课了，太恐怖了,https://www.bilibili.com/video/BV1Vq4y1k7rQ,攒镜头的紫气,326814,344735,342,55,7922,0,330,610
51,有哪些看起来很“怪”的插画？看完突然emo了是怎么回事......,https://www.bilibili.com/video/BV1bf4y1u74k,画手请就位,323069,383601,111,766,59053,0,323,22531
52,郭德纲遇上杨紫   杨紫：大爷你尽管说，话掉地上算我输,https://www.bilibili.com/video/BV1iF411a7Ty,我喜欢吃蓝莓,322349,443513,75,64,68691,0,75,2663
53,小新真的是从心底里散发出的温柔.,https://www.bilibili.com/video/BV1yq4y1g7Ev,精神小贱,321280,542064,46,649,41039,0,428,4094
54,我们嘴里有毛又怎么了,https://www.bilibili.com/video/BV1Ub4y187rz,keai草,321247,354235,177,730,24850,0,557,1399
55,破防了。。,https://www.bilibili.com/video/BV1U3411C7HZ,凤毛_麟角_,312949,580153,1128,483,51867,0,355,3797
56,每天都能看到我的6块腹肌，还去找私教？！,https://www.bilibili.com/video/BV1KQ4y1D7nG,林一的小酥,312566,282983,136,99,9479,0,141,607
57,“你们搁着刷微信步数呢”,https://www.bilibili.com/video/BV1J44y1e78z,小冯又晕了,304398,253302,269,864,9445,0,1166,1069
58,璃 月 干 饭 人 【原神小剧场】,https://www.bilibili.com/video/BV1LT4y197Ts,愚人戏社,299858,114028,402,3458,18149,0,698,3623
59,典狱长只记得圣经的内容，却不记得圣经的重量,https://www.bilibili.com/video/BV1PP4y157bB,曦月煊,295267,333041,97,56,23966,0,7,1052
60,购物进化论 | 穿越1400年回到古代市集，你能玩到第几关？,https://www.bilibili.com/video/BV1Jf4y1T7yn,理想生活进化论,294929,254816,274,2060,13175,0,6211,12305
61,大哥想和你平分，你却想与大哥斗法,https://www.bilibili.com/video/BV11r4y1C7Kq,爱好是柠檬,293773,247275,52,133,12165,0,47,597
62,传奇人物霍华德修斯   小李子主演 钢铁般的意志 不惜公司破产只为了梦想!,https://www.bilibili.com/video/BV1iq4y1r7sB,老实人讲电影,293377,560065,39,50,26675,0,23,2085
63,【波兰球】来自五常的压迫感,https://www.bilibili.com/video/BV1Yv411T7Wt,高维肃正,284965,620355,1181,3495,35838,0,483,12644
64,天津人养的狗,https://www.bilibili.com/video/BV1hL4y1v73H,哏儿都天津人,279253,399562,66,462,18686,0,6494,4276
65,物理老师橡胶锤击碎酒瓶，没有实验的物理是没有颜色的,https://www.bilibili.com/video/BV12g411K79m,山东在线,277840,599990,571,564,28053,0,333,2011
66,偷吃零食小技巧，在医院这样偷吃，学会一个你就捡到宝了,https://www.bilibili.com/video/BV1jg411K7aV,生活小小技能,276078,486054,1,21,162,0,0,127
67,终于有猫啦！德文卷毛猫到底香不香？接猫日记,https://www.bilibili.com/video/BV1JP4y157s4,酸酸兔Acid,273405,178218,231,230,12069,0,2564,2057
68,我们找到了列宁格勒战役时英勇牺牲的士兵们！向他们顽强的抵抗致敬,https://www.bilibili.com/video/BV1Qr4y1C7Gd,战争挖掘者,271819,143454,617,1297,12714,0,279,2831
69,人间有爱 在中国，生命至高无上，此生无悔入华夏，中国加油！！！,https://www.bilibili.com/video/BV1Zr4y1y77R,超炫至尊,271747,2243191,1379,3907,242203,0,783,14180
70,100个拿刀武士能不能打赢一个神？,https://www.bilibili.com/video/BV1EF411Y7JU,模拟诸神之战,270375,241332,1114,338,6553,0,237,1009
71,这个老师不一般啊，希望同学们把自己杀掉 没等毕业就，哎最后好惨,https://www.bilibili.com/video/BV1kQ4y1B7FA,莱茵电影,269685,903430,56,405,4706,0,21,3063
72,大爷要教我打球 没想到有反转,https://www.bilibili.com/video/BV19g411K7ex,尹航乒乓球,266911,521753,521,645,20749,0,752,787
73,只给15步，AI带来的表演堪称奇迹！,https://www.bilibili.com/video/BV1Aq4y1k7s2,海岸线上的背影,265688,210536,28,144,7721,0,162,1507
74,中国教育，欠学生一节“死 亡 课”,https://www.bilibili.com/video/BV1TU4y1g72c,车棍儿老师在教书,265588,245735,184,817,32062,0,360,3603
75,漫谈丰田汽车,https://www.bilibili.com/video/BV1e34y1o7BC,保守派车迷刘同学,265200,4372492,8362,30545,179044,0,52417,24032
76,光上班怎么能够，必须做点副业了！,https://www.bilibili.com/video/BV1yT4y1d7nT,职场导师煜菲,264730,121887,1,614,2828,0,203,6620
77,海底捞员工说要给我拿个盆吃！！！不私藏了。      隐藏系列安排。,https://www.bilibili.com/video/BV1FL4y1z7hZ,少女爱丽丝-,264627,3346024,1197,12348,161076,0,31612,111846
78,鸡爪,https://www.bilibili.com/video/BV1xP4y1j7o8,小燕517,253121,202128,1221,210,10182,0,300,390
79,真是搞不懂为什么玲娜贝儿那么火？,https://www.bilibili.com/video/BV1tQ4y1m7h9,白日梦不要钱--,252161,143041,246,1533,12752,0,3264,6868
80,人间最强凡人左千户，要是他懂点法术，估计燕赤霞和知秋都靠边站,https://www.bilibili.com/video/BV14g411K793,沐州zz,251636,216157,113,90,7742,0,25,587
81,封面选得好？,https://www.bilibili.com/video/BV1n3411y7dU,刘任律师,251301,553128,134,51,61346,0,85,2432
82,看哭了，男孩的灵魂苦苦等在原地不肯离开，只为妈妈的一句我爱你,https://www.bilibili.com/video/BV1mb4y1b7iB,啄木鸟探片,250354,514219,120,270,4272,0,176,1314
83,名字一个比一个绝，不做情侣可惜了！,https://www.bilibili.com/video/BV1dL411g7XK,流浪法师Lawer张,250197,396116,17,30,44308,0,101,1315
84,反正不会火，互联网是认不出我们的，宿舍深夜整活,https://www.bilibili.com/video/BV1Rq4y1r7EG,云山i苍苍,244612,189445,182,247,15441,0,73,583
85,烧烤教程烧烤酱,https://www.bilibili.com/video/BV1A3411C7Fr,一个只会做烧烤的爷们,241989,203645,6,107,2843,0,30,1747
86,等红绿灯男子吃零食，前面男孩看到馋的直竖拇指，男子贴心送上,https://www.bilibili.com/video/BV1tg411K7Q2,阳新县融媒体云上阳新,240872,237753,56,137,21542,0,60,714
87,【慕容晓晓】开口跪是什么？ 这首国风音乐是你要的吗？,https://www.bilibili.com/video/BV1FS4y1d7ge,慕容晓晓,240601,127239,427,4372,14368,0,50,792
88,太阳的味道不是烧烤螨虫，辟谣啦,https://www.bilibili.com/video/BV1A34y1Z7Zj,夜话冷知识,239590,260356,47,51,21551,0,273,1818
89,格斗 %体育精神 %一定要看到最后 %武林风 %搏击 %涨知识 %dou出真功夫 ，  铁甲钢拳闫西波在自由搏击擂台上让日本选手见识到中国真功夫。,https://www.bilibili.com/video/BV1kv411T7Eo,抗日英雄联盟,238831,562582,384,784,33725,0,116,1062
90,哔哩哔哩原神UP主邀请赛 宣传片,https://www.bilibili.com/video/BV1xP4y1j7hh,原神UP主邀请赛,235903,700846,1607,4796,54603,0,3858,4192
91,大学靠这20个接私活的平台月入1w+坐在家里都能挣钱，全程教你挣钱方法干货分享！！,https://www.bilibili.com/video/BV1TR4y1t73q,编程羊羊,233205,106642,145,3331,4290,0,285,13415
92,冠 军 题,https://www.bilibili.com/video/BV13341187Vz,小兔老师知识课堂,231845,322137,395,1262,19895,0,1954,1593
93,现实版神奇动物在哪里！硬核大叔与他的魔法生物！【Jay】,https://www.bilibili.com/video/BV1Rr4y1C7yH,加州爬宠大叔Jay,225769,138128,473,1927,12165,0,280,967
94,百鬼丸的全盛时期居然是被夺走全部器官的时候,https://www.bilibili.com/video/BV1Uv411T7Mf,乔巴-解说海贼王,223704,1024163,30,152,29879,0,54,2102
95,【入驻】殿堂级音乐家 国风音乐大师-林海，今天正式入驻B站啦,https://www.bilibili.com/video/BV1DR4y1E7zL,林海音乐,221898,105501,1531,4061,11787,0,450,1052
96,「翻唱」《外婆桥》- 唱完想立刻冲回家抱抱姥姥,https://www.bilibili.com/video/BV1Jv411M7K1,钱润玉,221684,71507,520,7501,9622,0,244,2001
97,男子每日路过都被黄狗欺负，气不过召唤自家恶犬，气势瞬间碾压,https://www.bilibili.com/video/BV1Dv411T76w,动静资讯,218944,1142387,208,111,91553,0,472,4114
98,高中女老师发飙日常，又是被熊孩子气死一天,https://www.bilibili.com/video/BV1Ph411b7nE,祎祎的每一天,218832,146001,278,256,12017,0,121,671
99,自己的错误自己弥补回来，加油孩子！,https://www.bilibili.com/video/BV1dF411a7zg,体育小迷妹,218244,230234,22,53,17177,0,49,416
