,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
34,【怜载vlog】两岸猿声啼不住，疑是庆怜进猴山 ～动物园游园vlog～,https://www.bilibili.com/video/BV1G34y1Z78S,庆怜on_the_Island,181060,31054,3067,6233,5757,0,727,2311
35,吃瓜有时候真的很容易误伤～,https://www.bilibili.com/video/BV1eL41137q2,娱乐有范OU,179471,274539,8,13,42541,0,56,1022
36,“大方承认纹身抽烟 演小三成功出圈 这姐把自己风格拿捏的死死的”,https://www.bilibili.com/video/BV1hR4y1E76v,初八见林,168165,312993,85,44,3071,0,18,1118
37,您就是内娱爱豆身材管理天花板？！,https://www.bilibili.com/video/BV1aq4y137D4,粉蒸兔头,166234,114704,86,464,2944,0,361,1794
38,【周深】《2021双11狂欢夜》彩排群访丨清唱《光亮》戏腔,https://www.bilibili.com/video/BV1i44y1e7ck,周深资讯站,163869,52470,1086,1812,8028,0,387,2481
39,20211106 王一博英雄联盟S11总决赛表演,https://www.bilibili.com/video/BV1iS4y1d7Po,王一博吧_WYB,150780,578559,17454,17065,34594,0,14958,19175
40,【街头女战士】售后综艺合集（更至Gala Talk Show）,https://www.bilibili.com/video/BV11q4y1r7DC,W100million,150178,57565,329,499,1647,0,130,4075
41,《令人心动的offer3》的学历真的很好吗？医学生吐槽，reaction,https://www.bilibili.com/video/BV1HT4y1d7tB,小陈医生想躺平,149906,534467,2401,6646,21873,0,5957,2444
42,15岁居然可以演出一种颓废感还带着点清冷！！真的好有那种病娇或者颓废美感啊！！【朱志鑫｜导演请指教｜哪吒】,https://www.bilibili.com/video/BV1FL411u7ea,一口甜芋圆_,148261,352533,1003,2763,14966,0,2379,8553
43,蛇院校草马尔福就这样走进了格兰芬多的怀抱（bushi,https://www.bilibili.com/video/BV1Yu411o72i,未来冲浪指南,144560,274742,352,905,38878,0,1362,8890
44,“世界上总有人和你长的像”明星脸,https://www.bilibili.com/video/BV1wf4y1g77M,胡莽,142177,1445322,724,568,75953,0,3191,11513
45,世界上最坑人的节目,https://www.bilibili.com/video/BV13L411373K,世界档案君,140828,367250,74,46,39185,0,15,993
46,这居然只是个综艺！！！！！！,https://www.bilibili.com/video/BV1w34y1Z7kt,横竖都是L,139974,118394,200,207,5330,0,139,869
47,尬演尬导尬吵【年度最尬综艺之导演请指教】,https://www.bilibili.com/video/BV1zR4y1E7my,一只吐槽圆,137958,97913,899,418,5865,0,178,337
48,王宝强（下）：第八位百亿票房演员，草根到影帝，他的故事很励志,https://www.bilibili.com/video/BV1Gb4y1h7eH,人物日记传i,136603,4210439,487,1102,267497,0,351,17383
49,外国的黑子是怎样的？长见识了！,https://www.bilibili.com/video/BV1Bq4y1r7rj,二十三娱乐,130826,200526,26,14,26524,0,27,1196
50,【百蓝出品】211109 艺声 微博直播 全场中字,https://www.bilibili.com/video/BV1cr4y1y7vP,CenturyBlue百年唯蓝,129926,43299,914,1009,6425,0,531,1817
51,当 代 综 艺 现 状（2）,https://www.bilibili.com/video/BV123411b75n,火树三国杀,128911,67154,621,1678,7751,0,267,618
52,【柳岩】生日了 可爱舞一下,https://www.bilibili.com/video/BV1wv411M78g,柳岩LIUYAN,127393,63249,217,400,10563,0,11,229
53,【九站联合】211109 我们酒店是7星呀 | HOTEL THE DREAM #1 全场中字,https://www.bilibili.com/video/BV1KS4y1d7eJ,百度NCTDREAM_BAR,126788,59205,1554,357,3456,0,181,2330
54,【杨紫VS黄子韬】杨紫渣男发言，黄子韬瞬间崩溃…,https://www.bilibili.com/video/BV1zb4y1h7gv,迪丽月巴的微笑,123821,191990,24,16,26407,0,110,913
55,Cardi B小课堂回放 教你识娱乐圈骗局,https://www.bilibili.com/video/BV1644y1e7ZD,CardiBArchive,120801,62171,128,461,7674,0,260,857
56,看高情商的主持人何炅，汪涵，倪萍，朱军，撒贝宁的高能救场，真的是各种机智救场啊，佩服#综艺 #明星 #娱乐圈 #主持人,https://www.bilibili.com/video/BV1fR4y1J7eD,娱乐小牌牌,120652,693372,164,120,69168,0,45,3270
57,‘’这才是内娱体态教科书的存在啊！！！‘’,https://www.bilibili.com/video/BV1nq4y1V7zC,东海龙王的侄女-,116898,382672,89,514,16170,0,142,5748
58,我去！搞到真人芭比了呀！居然有人说她不如伴舞！,https://www.bilibili.com/video/BV1n44y1e7bC,维他柠檬七,116215,94048,147,88,3517,0,11,283
59,【张真源】《哪吒》首唱！张真源浴火新生，穿越亘古时代，只为今日舞台！,https://www.bilibili.com/video/BV1x34y1Z7zy,张真源的松果仓库,114163,16214,1383,867,3010,0,3145,2782
60,宋亚轩《哪吒》初舞台 少年浴火盛开，涅槃而来,https://www.bilibili.com/video/BV1mg411K7zP,宋亚轩的留声机,111948,30083,622,2321,5378,0,331,1472
61,【朱志鑫说因外表而拥有人气不长久】TF家族朱志鑫想尝试吴京式硬汉角色,https://www.bilibili.com/video/BV1Wf4y1T7YK,新浪娱乐日爆社,111087,63089,573,932,3679,0,115,1458
62,明星们凡尔赛名场面，还是你撒贝宁技高一筹,https://www.bilibili.com/video/BV1RU4y1u7Rd,电影猿i,110920,245353,21,18,26514,0,7,600
63,【目黒蓮】这 是 一 条 meme 吃 东 西 的 合 集,https://www.bilibili.com/video/BV1F34y1Z7P3,Loveis_,110783,36703,236,436,4747,0,349,3393
64,死也没用，你就是这15个孩子的亲爹！！！,https://www.bilibili.com/video/BV1B44y1e7g5,林带鱼解说,109577,93907,287,407,2543,0,381,141
65,【2003年】《恋爱的犀牛》官摄修复版｜段奕宏、郝蕾,https://www.bilibili.com/video/BV1Ku411f7Vy,孟京辉在剧场,107243,1227996,7331,45724,70574,0,28985,142940
66,“我不是装漂亮，是出生就很漂亮”,https://www.bilibili.com/video/BV1X3411b7Le,fhhvgh糖,106175,72930,147,200,4601,0,69,1646
67,【张杰】来维持一下我周更up主的人设～,https://www.bilibili.com/video/BV19r4y1C7nQ,张杰,105437,161183,1208,8752,22712,0,395,2942
68,【时代少年团】少年护眼图鉴-宋亚轩公益ID,https://www.bilibili.com/video/BV1yQ4y1m7Fh,HORIEN海俪恩,103307,22361,2165,2036,3676,0,310,1228
69,进来！认领！！男朋友！！！杀疯了救救,https://www.bilibili.com/video/BV1f34y1o7Ci,清纯小狗-,103006,27892,49,308,4338,0,394,2504
70,【哔计划】关晓彤：在B站搜自己？nonono+10086,https://www.bilibili.com/video/BV1Xy4y1B7K7,哔计划,102277,3409477,4956,2789,32589,0,48,2
71,互怼不比拍电影好看？吐槽解说《导演请指教》第一期上!,https://www.bilibili.com/video/BV1K341187dw,我是一只粽子啊,100101,61006,569,525,5118,0,88,465
72,李疼：第一次直播带货，staff太会夸了怎么办？,https://www.bilibili.com/video/BV16g411K7JT,爱TEN的高三狗冲劲十足,99955,72986,55,29,4616,0,264,742
73,【周洁琼】《周洁吃不琼》05之据说是最难喝的几种饮料？,https://www.bilibili.com/video/BV19v411T7iG,周洁琼,98861,108302,527,799,2329,0,51,449
74,【薛之谦】【毛不易】那个夏天，他一路带着青涩的他，用才华战胜了资本！,https://www.bilibili.com/video/BV1pU4y1c7F8,我的偶像巨顽皮ou,98154,188126,28,37,29967,0,16,1016
75,aespa新曲Savage舞台拍摄花絮公开,https://www.bilibili.com/video/BV1ar4y1C7gB,pcyxjy,97166,60320,394,73,3485,0,62,878
76,许嵩被称为海蝶“败家子”，他为什么火了十年却不开演唱会？,https://www.bilibili.com/video/BV1nh411t7Ub,连城谈娱,96689,252650,115,138,7927,0,21,607
77,当他个人综艺提到时代少年团和队友时,https://www.bilibili.com/video/BV1Wf4y1T7VN,江小侠侠,94758,42267,27,65,6331,0,24,1217
78,一张动图推转11万，用最少的镜头登上美趋第一，每次回归美貌都更惊人的闯美武器【宁艺卓】【宁宁】【aespa】,https://www.bilibili.com/video/BV1p34y1Z7Xs,超级颜控猫头鹰,94644,107864,137,425,4134,0,20,705
79,打听街头行人工作上最讨厌的事情。中国妹子1：老娘今年赚了1000万。中国妹子2：我这不是H的店！,https://www.bilibili.com/video/BV1k44y1e7sN,生草字幕组,94612,80072,185,38,1374,0,93,379
80,她竟然又双叒叕变脸了！！！,https://www.bilibili.com/video/BV1Tr4y117FC,十一的看脸日记,94554,1785422,853,470,119248,0,814,7002
81,吐槽方文山,https://www.bilibili.com/video/BV1Mb4y1Y7yS,周杰伦中文网JayCn,93087,619495,44,106,92707,0,368,4797
82,周深: 只要我脑子够快，互联网钢筋都无从下手。,https://www.bilibili.com/video/BV1TQ4y1Q7p8,21伊一,92016,1165080,536,1502,181809,0,3502,18986
83,祝贺EDG！昨晚【舞千年】播出后的“真实对话”...,https://www.bilibili.com/video/BV1rg411K7WF,河南卫视,91423,79428,59,158,6892,0,76,178
84,在座的各位，准备好接受暴力丑学的幽默了吗？,https://www.bilibili.com/video/BV1Fh411b7tj,李弎岁blackpig,90868,52916,157,398,2014,0,405,1371
85,itzy为什么越来越糊？竟然是走了前Gfriend 的老路？如何翻红？,https://www.bilibili.com/video/BV1z44y1e7RX,宋颂颂_,89813,118485,678,195,4683,0,246,807
86,【文韬佳佳】现实版肖奈与贝微微，英年早婚队伍又增加成员了，大概这就是势均力敌的爱情吧~,https://www.bilibili.com/video/BV15q4y1k7oh,初兰蓝蓝,89480,181940,120,143,8850,0,431,1670
